clk reset hsync vsync blank hcnt vcnt   time(ns)
 0    0     x     x     x     x    x         0
 0    0     1     1     0     7    6      5240
 1    0     1     1     0     8    6      5260
 0    0     1     1     0     8    6      5280
 1    0     1     1     0     9    6      5300
 0    0     1     1     0     9    6      5320
 1    0     0     1     0    10    6      5340
 0    0     0     1     0    10    6      5360
 1    0     0     1     0    11    6      5380
 0    0     0     1     0    11    6      5400
 1    0     0     1     0    12    6      5420
 0    0     0     1     0    12    6      5440
 1    0     0     1     0    13    6      5460
 0    0     0     1     0    13    6      5480
 1    0     0     1     0    14    6      5500
 0    0     0     1     0    14    6      5520
 1    0     0     1     0    15    6      5540
 0    0     0     1     0    15    6      5560
 1    0     1     1     0    16    6      5580
 0    0     1     1     0    16    6      5600
 1    0     1     1     0    17    6      5620
 0    0     1     1     0    17    6      5640
 1    0     1     1     0    18    6      5660
 0    0     1     1     0    18    6      5680
 1    0     1     1     0    19    6      5700
 0    0     1     1     0    19    6      5720
 1    0     1     1     0     0    7      5740
 0    0     1     1     0     0    7      5760
 1    0     1     1     0     1    7      5780
 0    0     1     1     0     1    7      5800
 1    0     1     1     0     2    7      5820
 0    0     1     1     0     2    7      5840
 1    0     1     1     0     3    7      5860
 0    0     1     1     0     3    7      5880
 1    0     1     1     0     4    7      5900
 0    0     1     1     0     4    7      5920
